population	het	psi.sum	rep	model
1	0.1317968	-0.0006964466153	5	equal_sym
2	0.128282	-0.1175240057	5	equal_sym
3	0.1316851	0.03383524276	5	equal_sym
4	0.1273562	-0.169173646	5	equal_sym
5	0.1290412	-0.03440419014	5	equal_sym
6	0.1335301	0.0774212857	5	equal_sym
7	0.1338615	0.1088580486	5	equal_sym
8	0.1296627	-0.05742961483	5	equal_sym
9	0.1357156	0.1653401984	5	equal_sym
10	0.1300966	-0.006226872263	5	equal_sym
1	0.126643	-0.1706818317	6	equal_sym
2	0.1347456	0.1095358429	6	equal_sym
3	0.1267396	-0.1844441252	6	equal_sym
4	0.1288018	-0.07525404794	6	equal_sym
5	0.1339143	0.07877754966	6	equal_sym
6	0.1409203	0.3173074568	6	equal_sym
7	0.1316485	0.009073338653	6	equal_sym
8	0.1348736	0.1034284227	6	equal_sym
9	0.1305567	-7.22E-02	6	equal_sym
10	0.1309128	-0.1155628866	6	equal_sym
1	0.1182833	-0.4912650229	7	equal_sym
2	0.1285546	-0.09535391437	7	equal_sym
3	0.1371478	0.1723820917	7	equal_sym
4	0.1324814	0.01966175875	7	equal_sym
5	0.1394309	0.3061437662	7	equal_sym
6	0.1351414	0.1261214758	7	equal_sym
7	0.1330014	0.05156803657	7	equal_sym
8	0.1336665	0.1181458691	7	equal_sym
9	0.1265414	-1.53E-01	7	equal_sym
10	0.1310164	-0.05429620254	7	equal_sym
1	0.131412	-0.003439262013	8	equal_sym
2	0.1301983	-0.05857811861	8	equal_sym
3	0.1366511	0.1933620423	8	equal_sym
4	0.1373022	0.1866446539	8	equal_sym
5	0.1342314	0.08943601139	8	equal_sym
6	0.1300615	-0.008924470391	8	equal_sym
7	0.1300393	-0.03422103029	8	equal_sym
8	0.1321258	-0.02149366736	8	equal_sym
9	0.1290566	-9.27E-02	8	equal_sym
10	0.1254702	-0.2500715774	8	equal_sym
1	0.1266068	-0.1846780236	9	equal_sym
2	0.1375998	0.1921579176	9	equal_sym
